_id,created_at,position_of_prize,completed,experiment,choice_at,eliminated_door,initial_choice,final_choice,switch_at,switched,win
ObjectId(5c54e7885db1c6188b7be80a),1.549068168251e+12,0,true,batch-1549068168162,1.549068170426e+12,1,2,0,1.549068170674e+12,true,true
ObjectId(5c54e7885db1c6188b7be80b),1.549068168264e+12,0,true,batch-1549068168162,1.549068170396e+12,2,1,0,1.549068170597e+12,true,true
ObjectId(5c54e7885db1c6188b7be80c),1.549068168267e+12,1,true,batch-1549068168162,1.549068170441e+12,0,1,1,1.549068170695e+12,false,true
ObjectId(5c54e7885db1c6188b7be80d),1.549068168268e+12,0,true,batch-1549068168162,1.549068170465e+12,1,2,2,1.549068170801e+12,false,false
ObjectId(5c54e7885db1c6188b7be80e),1.549068168269e+12,0,true,batch-1549068168162,1.549068170457e+12,2,1,1,1.549068170769e+12,false,false
ObjectId(5c54e7885db1c6188b7be80f),1.54906816827e+12,0,true,batch-1549068168162,1.549068170426e+12,2,1,0,1.54906817066e+12,true,true
ObjectId(5c54e7885db1c6188b7be810),1.54906816827e+12,0,true,batch-1549068168162,1.5490681704e+12,1,0,0,1.549068170599e+12,false,true
ObjectId(5c54e7885db1c6188b7be811),1.549068168271e+12,0,true,batch-1549068168162,1.549068170441e+12,1,2,0,1.549068170699e+12,true,true
ObjectId(5c54e7885db1c6188b7be812),1.549068168272e+12,0,true,batch-1549068168162,1.549068170465e+12,1,2,0,1.54906817076e+12,true,true
ObjectId(5c54e7885db1c6188b7be813),1.549068168273e+12,1,true,batch-1549068168162,1.549068170458e+12,2,1,0,1.549068170796e+12,true,false
ObjectId(5c54e7885db1c6188b7be814),1.549068168274e+12,2,true,batch-1549068168162,1.549068170427e+12,1,2,0,1.549068170675e+12,true,false
ObjectId(5c54e7885db1c6188b7be815),1.549068168275e+12,1,true,batch-1549068168162,1.549068170404e+12,0,2,1,1.549068170622e+12,true,true
ObjectId(5c54e7885db1c6188b7be816),1.549068168276e+12,2,true,batch-1549068168162,1.549068170442e+12,1,2,0,1.549068170704e+12,true,false
ObjectId(5c54e7885db1c6188b7be817),1.549068168277e+12,2,true,batch-1549068168162,1.549068170466e+12,0,2,2,1.549068170761e+12,false,true
ObjectId(5c54e7885db1c6188b7be818),1.549068168277e+12,0,true,batch-1549068168162,1.549068170458e+12,2,1,1,1.549068170765e+12,false,false
